UT_datetime, Type, Brightness, Zenith, Conditions, Latitude, Longitude, Moon_alt, Moon_illum, Clear SkyClock, Site description, User
2023-12-12 10:00:02, SQM-L,18.25, Up,0%, 39.2369, -84.4741,  -28, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 09:00:02, SQM-L,18.27, Up,0%, 39.2369, -84.4741,  -39, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 08:00:01, SQM-L,18.29, Up,0%, 39.2369, -84.4741,  -50, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 07:00:02, SQM-L,18.29, Up,0%, 39.2369, -84.4741,  -60, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 06:00:02, SQM-L,18.26, Up,0%, 39.2369, -84.4741,  -70, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 05:00:02, SQM-L,18.23, Up,0%, 39.2369, -84.4741,  -76, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 04:00:01, SQM-L,18.21, Up,0%, 39.2369, -84.4741,  -74, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 03:00:02, SQM-L,18.16, Up,0%, 39.2369, -84.4741,  -65, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 02:00:01, SQM-L,18.13, Up,0%, 39.2369, -84.4741,  -54, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 01:00:02, SQM-L,18.1, Up,0%, 39.2369, -84.4741,  -43, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 00:03:03, SQM-L,18.11, Up,0%, 39.2369, -84.4741,  -33, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 23:00:02, SQM-L,16.21, Up,0%, 39.2369, -84.4741,  -21, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 12:00:02, SQM-L,15.66, Up,100%, 39.2369, -84.4741,  4, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 11:00:02, SQM-L,16.36, Up,100%, 39.2369, -84.4741,  -6, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 10:00:02, SQM-L,15.75, Up,70%, 39.2369, -84.4741,  -16, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 09:00:02, SQM-L,15.96, Up,100%, 39.2369, -84.4741,  -27, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 08:00:01, SQM-L,15.72, Up,50%, 39.2369, -84.4741,  -38, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 07:00:02, SQM-L,15.5, Up,20%, 39.2369, -84.4741,  -49, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 06:00:02, SQM-L,15.73, Up,100%, 39.2369, -84.4741,  -59, 4, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 05:00:01, SQM-L,16.17, Up,100%, 39.2369, -84.4741,  -68, 4, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 04:00:02, SQM-L,15.93, Up,100%, 39.2369, -84.4741,  -73, 4, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 03:00:02, SQM-L,16.35, Up,100%, 39.2369, -84.4741,  -70, 4, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 02:00:01, SQM-L,16.5, Up,100%, 39.2369, -84.4741,  -62, 4, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 01:00:02, SQM-L,16.18, Up,100%, 39.2369, -84.4741,  -51, 4, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-11 00:00:02, SQM-L,15.33, Up,100%, 39.2369, -84.4741,  -40, 5, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 23:00:02, SQM-L,15.22, Up,100%, 39.2369, -84.4741,  -29, 5, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 12:10:47, SQM-L,14.66, Up,0%, 39.2369, -84.4741,  16, 7, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 11:00:02, SQM-L,16.31, Up,0%, 39.2369, -84.4741,  6, 7, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 10:00:02, SQM-L,16.63, Up,90%, 39.2369, -84.4741,  -4, 8, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-10 09:00:01, SQM-L,16.25, Up,90%, 39.2369, -84.4741,  -15, 8, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
